Source_ID,Facility_Name,Full_Addr,Street_No,Street_Name,City,Prov_Terr,Postal_Code,CSDNAME,CSDUID,Longitude,Latitude
9393013,La Grande-ourse,3490 Fulton Ave Smithers BC V0J 2N0,3490,fulton ave,Smithers,BC,V0J2N0,Smithers,5951043,-127.1585580,54.77839700
9348020,La Passerelle,1509 Spring Creek Dr Whistler BC V0N 1B1,1509,spring creek dr,Whistler,BC,V0N1B1,Whistler,5931020,-123.0216800,50.0862200
9348024,La Vallee,1410 Portage Rd Pemberton BC V0N 2L0,1410,portage rd,Pemberton,BC,V0N2L0,Pemberton,5931012,-122.8039210,50.31950400
9333002,La Verendrye,6610 Lickman Rd Chilliwack BC V2R 4A9,6610,lickman rd,Chilliwack,BC,V2R4A9,Chilliwack,5909020,-122.006728,49.12224900
9348008,Les Aiglons,1150 Carson Place PO Box 159 Squamish BC V8B 0B1,1150,carson place,Squamish,BC,V8B0B1,Squamish,5931006,-123.148249,49.70670900
9372031,Mer-et-montagne,1102 South Alder St Campbell River BC V9W 1Z7,1102,south alder st,Campbell River,BC,V9W1Z7,Campbell River,5924034,-125.2321130,49.98750000
9368067,Oceane,1951 Estevan Rd Nanaimo BC V9S 3Y9,1951,estevan rd,Nanaimo,BC,V9S3Y9,Nanaimo,5921007,-123.9611520,49.18905400
9339092,Rose-des-vents,5445 Baillie St Vancouver BC V5Z 3M6,5445,baillie st,Vancouver,BC,V5Z3M6,Vancouver,5915022,-123.122302,49.2365600
9347021,Secondaire Brooks,5400 Marine Ave Powell River BC V8A 2L6,5400,marine ave,Powell River,BC,V8A2L6,Powell River,5927008,-124.5432150,49.86223600
9372010,Secondaire Carihi,350 Dogwood St Campbell River BC V9W 2X9,350,dogwood st,Campbell River,BC,V9W2X9,Campbell River,5924034,-125.24911,50.01409600
9346017,Secondaire Chatelech,5904 Cowrie St Sechelt BC V0N 3A7,5904,cowrie st,Sechelt,BC,V0N3A7,Sechelt,5929011,-123.7689180,49.47352500
9368001,Secondaire de Nanaimo,355 Wakesaih Ave Nanaimo BC V9R 3K5,355,wakesaih ave,Nanaimo,BC,V9R3K5,Nanaimo,5921007,-123.9611520,49.18905400
9307013,Secondaire de Nelson,1004 Cottonwood St Nelson BC V1L 3W2,1004,cottonwood st,Nelson,BC,V1L3W2,Nelson,5903015,-117.2722000,49.50223200
9393004,Secondaire de Penticton,158 Eckhardt Ave E Penticton BC V2A 1Z3,158,eckhardt ave e,Penticton,BC,V2A1Z3,Penticton,5907041,-119.5767780,49.48985700
9319003,Secondaire de Revelstoke,1007 Vernon Ave Revelstoke BC V0E 2S0,1007,vernon ave,Revelstoke,BC,V0E2S0,Revelstoke,5939019,-118.1980180,50.99129600
9357012,Secondaire Duchess-Park,747 Winnipeg St Prince George BC V2L 2V3,747,winnipeg st,Prince George,BC,V2L2V3,Prince George,5953023,-122.7582140,53.9164940
9393005,Secondaire Jules-Verne,5445 Baillie St Vancouver BC V5Z 3M6,5445,baillie st,Vancouver,BC,V5Z3M6,Vancouver,5915022,-123.122302,49.2365600
9393008,Sophie-Morigeau,44 Mt Washburn St Fernie BC V0B 1M3,44,mt washburn st,Fernie,BC,V0B1M3,Fernie,5901012,-115.0711650,49.49072800
9361060,Victor-Brodeur,637 Head St Victoria BC V9A 5S9,637,head st,Victoria,BC,V9A5S9,Esquimalt,5917040,-123.4014120,48.43218700
9399177,Virtuelle,100-13511 Commerce Parkway Richmond BC V6V 2J8,100,13511 commerce parkway,Richmond,BC,V6V2J8,Richmond,5915015,-123.0718220,49.17337000
5107,￉cole Arc-en-ciel,"30, rue Beaufort Oromocto NB E2V 0M6",30,rue beaufort,Oromocto,NB,E2V0M6,Oromocto,1303012,-66.48765300,45.84208800
95,￉cole Notre-Dame du Cap,"Case postale 170 Cap Saint-Georges, NL Cap Saint-Georges NL A0N1E",882,Oceanview Dr,Cap Saint-Georges,NL,A0N1E,Cape St. George,1004033,-59.1936100,48.4833050
472,￉cole Boreale,"P.O. Box 1038, Stn. C Happy Valley- Goose Bay, NL Happy Valley-Goose Bay NL A0P1C",7,cabot st,Happy Valley-Goose Bay,NL,A0P1C,Happy Valley-Goose Bay,1010025,-60.3102190,53.2993910
107,￉cole Sainte-Anne,"Case postale 190, RR#1 La Grand'Terre,TL La Grand'Terre (Mainland) NL A0N1R",231,Island View Road,La Grand'Terre (Mainland),NL,A0N1R,"Division No.  4, Subd. E",1004022,-59.1728310,48.5710750
459,Centre educatif l'ENVOL,"505 Bristol Crescent Labrador City, TL Labrador City NL A2V1J",505,bristol crescent,Labrador City,NL,A2V1J,Labrador City,1010032,-66.914729,52.9403060
145,￉cole acadienne de Pomquet,"791, rue Taylor Pomquet NS B2G 2L4",791,rue taylor,Pomquet,NS,B2G2L4,"Antigonish, Subd. B",1214006,-61.8563890,45.6242310
982,￉cole Beau-Port,"2359, route 206 Arichat NS B0E 2L0",2359,route 206,Arichat,NS,B0E2L0,"Richmond, Subd. C",1216001,-61.026713,45.512869
1173,￉cole des Beaux-Marais,"5261, autoroute 7 Porters Lake NS B3E 1J7",5261,autoroute 7,Porters Lake,NS,B3E1J7,Halifax,1209034,-63.28130300,44.74491300
68,￉cole du Carrefour,"201A, avenue du Portage Dartmouth NS B2X 3T4",201,avenue du portage,Dartmouth,NS,B2X3T4,Halifax,1209034,-63.532888,44.705678
217,￉cole Joseph-Dugas,"450, chemin Patrice Pointe-de-l'￉glise NS B0W 1M0",450,chemin patrice,Pointe-de-l'￉glise,NS,B0W1M0,Clare,1203001,-66.1040960,44.3269920
378,￉cole NDA,"15118, Cabot Trail Ch￩ticamp NS B0E 1H0",15118,cabot trail,Ch￩ticamp,NS,B0E1H0,"Inverness, Subd. A",1215011,-61.0151840,46.6252240
156,￉cole Pubnico-Ouest,"811, route 335 Pubnico-Ouest NS B0W 3S0",811,route 335,Pubnico-Ouest,NS,B0W3S0,Argyle,1202001,-65.796131,43.669562
225,￉cole secondaire de Clare,"80, chemin Placide Comeau La Butte NS B0W 2L0",80,chemin placide comeau,La Butte,NS,B0W2L0,Clare,1203001,-66.1311350,44.2260970
165468,Acad￩mie de la Moraine,115 George rue Aurora Ontario L4G2S3,115,george rue,Aurora,ON,L4G2S3,Richmond Hill,3519038,-79.4563,43.9495
165409,Acad￩mie de la Tamise,1260 Dundas rue London Ontario N5W5P2,1260,dundas rue,London,ON,N5W5P2,London,3539036,-81.2035,42.99746
918997,Coll￨ge fran￧ais secondaire,100 Carlton rue Toronto Ontario M5B1M3,100,carlton rue,Toronto,ON,M5B1M3,Toronto,3520005,-79.3773,43.66256
117382,Coll￨ge fran￧ais ￩l￩mentaire,100 Carlton rue Toronto Ontario M5B1M3,100,carlton rue,Toronto,ON,M5B1M3,Toronto,3520005,-79.3777,43.66221
165204,￉cole interm￩diaire Franco-Niagara,670 Tanguay av Welland Ontario L3B4G2,670,tanguay av,Welland,ON,L3B4G2,Welland,3526032,-79.2245,42.98923
310415,￉cole interm￩diaire Ronald-Marion,2235 Brock chemin Pickering Ontario L1V2P8,2235,brock chemin pickering ontario l1v2p8,Pickering,ON,L1V2P8,Pickering,3518001,-79.0798,43.86
922089,￉cole secondaire David Saint-Jacques,80 Burlington Drive Kitchener Ontario N2B1T5,80,burlington drive,Kitchener,ON,N2B1T5,Kitchener,3530013,-80.4146,43.43143
909858,￉cole secondaire Franco-Jeunesse,901 promenade Rapids av Sarnia Ontario N7S6K2,901,promenade rapids av,Sarnia,ON,N7S6K2,Sarnia,3538030,-82.3511,42.99473
907553,￉cole secondaire Franco-Niagara,670 Tanguay avenue Welland Ontario L3B4G2,670,tanguay avenue,Welland,ON,L3B4G2,Welland,3526032,-79.2245,42.98923
910554,￉cole secondaire Gabriel-Dumont,2463 boulevard Evans London Ontario N6M0B1,2463,boulevard,London,ON,N6M0B1,London,3539036,-81.2324,43.01557
914723,￉cole secondaire Ga￩tan Gervais,1075 McCraney Rue OAKVILLE Ontario L6H1H9,1075,mccraney rue,OAKVILLE,ON,L6H1H9,Oakville,3524001,-79.6935,43.46057
907308,￉cole secondaire Georges-P-Vanier,100 Macklin N rue Hamilton Ontario L8S3S1,100,macklin n rue,Hamilton,ON,L8S3S1,Hamilton,3525005,-79.8945,43.26601
907642,￉cole secondaire Jeunes sans fronti￨res,7585 Financial promenade Brampton Ontario L6Y5P4,7585,financial promenade,Brampton,ON,L6Y5P4,Brampton,3521010,-79.7588,43.62401
934852,￉cole secondaire Le Caron,22 John rue Penetanguishene Ontario L9M1N8,22,john rue,Penetanguishene,ON,L9M1N8,Penetanguishene,3543072,-79.94,44.76085
896889,￉cole secondaire Norval-Morrisseau,51 Wright rue Richmond Hill Ontario L4C4A1,51,wright rue,Richmond Hill,ON,L4C4A1,Richmond Hill,3519038,-79.4413,43.87773
925326,￉cole secondaire Rom￩o Dallaire,736 Essa chemin Barrie Ontario L4N9E9,736,essa chemin barrie ontario l4n9e9,Barrie,ON,L4N9E9,Barrie,3543042,-79.7158,44.32609
901037,￉cole secondaire Ronald-Marion,2235 Brock chemin Pickering Ontario L1V2P8,2235,brock chemin pickering ontario l1v2p8,Pickering,ON,L1V2P8,Pickering,3518001,-79.0789,43.86065
952803,￉cole secondaire Toronto Ouest,330 Lansdowne avenue Toronto Ontario M6H3Y1,330,lansdowne avenue,Toronto,ON,M6H3Y1,Toronto,3520005,-79.441,43.65334
961008,￉cole secondaire de Lamothe-Cadillac,1775 TOTTEN ST WINDSOR Ontario N9B1X4,1775,totten st,WINDSOR,ON,N9B1X4,Windsor,3537039,-83.0469,42.28921
907588,￉cole secondaire ￉tienne-Br￻l￩,300 Banbury chemin North York Ontario M2L2V3,300,banbury chemin north,North York,ON,M2L2V3,Toronto,3520005,-79.3711,43.75241
156167,￉cole ￩l￩mentaire Antonine Maillet,615 Ridgeway av Oshawa Ontario L1J2W3,615,ridgeway av,Oshawa,ON,L1J2W3,Oshawa,3518013,-78.8899,43.90018
165441,￉cole ￩l￩mentaire Carrefour des Jeunes,375 Centre N rue Brampton Ontario L6V4N4,375,centre n rue,Brampton,ON,L6V4N4,Brampton,3521010,-79.7719,43.70714
393396,￉cole ￩l￩mentaire Chantal-Benoit,53 SS1 Morton Avenue East Gwillimbury Ontario N3R2N6,53,morton avenue,East Gwillimbury,ON,N3R2N6,East Gwillimbury,3519054,-79.4325,44.10245
447621,￉cole ￩l￩mentaire Charles-Sauriol,55 Pelham avenue Toronto Ontario M6N1A5,55,pelham avenue,Toronto,ON,M6N1A5,Toronto,3520005,-79.4557,43.66801
474256,￉cole ￩l￩mentaire David-Saint-Jacques,80 Burlington Drive Kitchener Ontario N2B1T5,80,burlington drive,Kitchener,ON,N2B1T5,Kitchener,3530013,-80.4146,43.43142
342322,￉cole ￩l￩mentaire Dyane-Adam,500 Cedar Hedge Road Milton Ontario L9T6J4,500,cedar hedge road,Milton,ON,L9T6J4,Milton,3524009,-79.8787,43.51839
532816,￉cole ￩l￩mentaire Franco-Jeunesse,901 Rapids Parkway Sarnia Ontario N7S6K2,901,rapids parkway,Sarnia,ON,N7S6K2,Sarnia,3538030,-82.351,42.99457
194069,￉cole ￩l￩mentaire F￩lix-Leclerc,50 Celestine promenade Etobicoke Ontario M9R3N3,50,celestine promenade,Etobicoke,ON,M9R3N3,Toronto,3520005,-79.5615,43.6899
165212,￉cole ￩l￩mentaire Gabriel-Dumont,2463 Evans boul London Ontario N6M0B1,2463,evans boul,London,ON,N6M0B1,London,3539036,-81.2324,43.01557
497134,￉cole ￩l￩mentaire Gabrielle-Roy,14 Pembroke rue Toronto Ontario M5A2N7,14,pembroke rue,Toronto,ON,M5A2N7,Toronto,3520005,-79.3721,43.65656
572312,￉cole ￩l￩mentaire Gaetan-Gervais,1075 Mccraney Street Oakville Ontario L6H1H9,1075,mccraney street,Oakville,ON,L6H1H9,Oakville,3524001,-79.6934,43.46053
